tip_name,genus,ncbi_genus_id,ncbi_family_id,ncbi_family_name,superfamily,subsection,infraorder,suborder
Clausicella_1718822,Clausicella,1718822,27474,Tachinidae,Oestroidea,NA,Muscomorpha,Brachycera
Lydella_283929,Lydella,283929,27474,Tachinidae,Oestroidea,NA,Muscomorpha,Brachycera
Blondelia_179437,Blondelia,179437,27474,Tachinidae,Oestroidea,NA,Muscomorpha,Brachycera
Mintho_1918277,Mintho,1918277,27474,Tachinidae,Oestroidea,NA,Muscomorpha,Brachycera
Ectophasia_569037,Ectophasia,569037,27474,Tachinidae,Oestroidea,NA,Muscomorpha,Brachycera
Drino_179459,Drino,179459,27474,Tachinidae,Oestroidea,NA,Muscomorpha,Brachycera
Senotainia_179787,Senotainia,179787,27474,Tachinidae,Oestroidea,NA,Muscomorpha,Brachycera
Cyrtophleba_991141,Cyrtophleba,991141,27474,Tachinidae,Oestroidea,NA,Muscomorpha,Brachycera
Archytas_198637,Archytas,198637,27474,Tachinidae,Oestroidea,NA,Muscomorpha,Brachycera
Cleonice_1918224,Cleonice,1918224,27474,Tachinidae,Oestroidea,NA,Muscomorpha,Brachycera
Zaira_179789,Zaira,179789,27474,Tachinidae,Oestroidea,NA,Muscomorpha,Brachycera
Dexia_569033,Dexia,569033,27474,Tachinidae,Oestroidea,NA,Muscomorpha,Brachycera
Glaurocara_2027854,Glaurocara,2027854,27474,Tachinidae,Oestroidea,NA,Muscomorpha,Brachycera
Ateloglossa_1890907,Ateloglossa,1890907,27474,Tachinidae,Oestroidea,NA,Muscomorpha,Brachycera
Acemya_1677647,Acemya,1677647,27474,Tachinidae,Oestroidea,NA,Muscomorpha,Brachycera
Macquartia_1918266,Macquartia,1918266,27474,Tachinidae,Oestroidea,NA,Muscomorpha,Brachycera
Phryxe_569079,Phryxe,569079,27474,Tachinidae,Oestroidea,NA,Muscomorpha,Brachycera
Sturmia_569089,Sturmia,569089,27474,Tachinidae,Oestroidea,NA,Muscomorpha,Brachycera
Vibrissina_179525,Vibrissina,179525,27474,Tachinidae,Oestroidea,NA,Muscomorpha,Brachycera
Pseudoperichaeta_283931,Pseudoperichaeta,283931,27474,Tachinidae,Oestroidea,NA,Muscomorpha,Brachycera
Anthomyiopsis_1918198,Anthomyiopsis,1918198,27474,Tachinidae,Oestroidea,NA,Muscomorpha,Brachycera
Nemoraea_170911,Nemoraea,170911,27474,Tachinidae,Oestroidea,NA,Muscomorpha,Brachycera
Phytomyza_132616,Phytomyza,132616,127399,Agromyzidae,Opomyzoidea,NA,Muscomorpha,Brachycera
Liriomyza_127403,Liriomyza,127403,127399,Agromyzidae,Opomyzoidea,NA,Muscomorpha,Brachycera
Phytobia_414304,Phytobia,414304,127399,Agromyzidae,Opomyzoidea,NA,Muscomorpha,Brachycera
Calycomyza_414293,Calycomyza,414293,127399,Agromyzidae,Opomyzoidea,NA,Muscomorpha,Brachycera
Melanagromyza_286470,Melanagromyza,286470,127399,Agromyzidae,Opomyzoidea,NA,Muscomorpha,Brachycera
Japanagromyza_414298,Japanagromyza,414298,127399,Agromyzidae,Opomyzoidea,NA,Muscomorpha,Brachycera
Cerodontha_127401,Cerodontha,127401,127399,Agromyzidae,Opomyzoidea,NA,Muscomorpha,Brachycera
Ophiomyia_341050,Ophiomyia,341050,127399,Agromyzidae,Opomyzoidea,NA,Muscomorpha,Brachycera
Agromyza_414290,Agromyza,414290,127399,Agromyzidae,Opomyzoidea,NA,Muscomorpha,Brachycera
